營運日,星期,總運量
2021/3/1,一,42684 
2021/3/2,二,48308 
2021/3/3,三,48672 
2021/3/4,四,49216 
2021/3/5,五,57198 
2021/3/6,六,38179 
2021/3/7,日,38455 
2021/3/8,一,48887 
2021/3/9,二,49045 
2021/3/10,三,49690 
2021/3/11,四,50080 
2021/3/12,五,59197 
2021/3/13,六,45231 
2021/3/14,日,43643 
2021/3/15,一,49916 
2021/3/16,二,50070 
2021/3/17,三,50139 
2021/3/18,四,51474 
2021/3/19,五,58948 
2021/3/20,六,46387 
2021/3/21,日,39912 
2021/3/22,一,47685 
2021/3/23,二,51080 
2021/3/24,三,49034 
2021/3/25,四,52568 
2021/3/26,五,60963 
2021/3/27,六,46455 
2021/3/28,日,44094 
2021/3/29,一,51377 
2021/3/30,二,51828 
2021/3/31,三,53783 
