年別,稅別,年底使用家數_家,全年使用張數_張,全年銷售額_千元
76,合計,126542,255823373,2948865918
76,一般稅額,126094,255440207,2763206675
76,特種稅額,448,383166,185659243
77,合計,136210,312029282,3057901142
77,一般稅額,135726,311768265,2847566075
77,特種稅額,484,261017,210335067
78,合計,144472,421235811,3905437823
78,一般稅額,143943,421063483,3433433286
78,特種稅額,529,172328,472004537
79,合計,145568,514520226,4186592394
79,一般稅額,144984,514381759,3738548250
79,特種稅額,584,138467,448044144
80,合計,152520,329452014,4626946640
80,一般稅額,151885,328492996,4192951769
80,特種稅額,635,959018,433994871
81,合計,154145,241812262,5197375232
81,一般稅額,153418,241661941,4641585962
81,特種稅額,727,150321,555789270
82,合計,155091,820651465,5469808015
82,一般稅額,154323,819687100,5012193505
82,特種稅額,768,964365,457614510
83,合計,157278,818480122,6073163249
83,一般稅額,156412,818154940,5532213484
83,特種稅額,866,325182,540949765
84,合計,150802,599739387,6734507100
84,一般稅額,149845,599319274,6135437799
84,特種稅額,957,420113,599069301
85,合計,152191,292715956,7021582892
85,一般稅額,151042,292050045,6340859922
85,特種稅額,1149,665911,680722970
86,合計,158716,317243658,7607369906
86,一般稅額,157282,316104762,6830205204
86,特種稅額,1434,1138896,777164702
87,合計,162392,236316111,8257568749
87,一般稅額,160790,235352602,7353502273
87,特種稅額,1602,963509,904066476
88,合計,165783,404695007,8548876242
88,一般稅額,164030,332358278,7633423620
88,特種稅額,1753,72336729,915452622
89,合計,166066,394689057,9647615877
89,一般稅額,164209,393579784,8621828778
89,特種稅額,1857,1109273,1025787099
90,合計,163437,312580120,9853286924
90,一般稅額,161586,311553860,8833459977
90,特種稅額,1851,1026260,1019826947
91,合計,161982,308876250,9737375214
91,一般稅額,160122,308022360,8836645019
91,特種稅額,1860,853890,900730195
92,合計,162896,508125807,10625248172
92,一般稅額,160927,507451553,9738619794
92,特種稅額,1969,674254,886628378
93,合計,165590,14114141591,11172040721
93,一般稅額,163555,14114141591,11172040721
94,合計,166017,6283146296,12837303979
94,一般稅額,163996,6283146296,12837303979
95,合計,165042,5153674846,12954225031
95,一般稅額,163031,5153442526,11464769131
95,特種稅額,2011,232320,1489455900
96,合計,164942,4503193022,12648282575
96,一般稅額,162941,3500778378,10096793082
96,特種稅額,2001,1002414644,2551489493
97,合計,163268,2662680600,12017077843
97,一般稅額,161301,2661111324,10134930682
97,特種稅額,1967,1569276,1882147161
98,合計,162858,3421823935,10069569008
98,一般稅額,160888,3421252033,8546509557
98,特種稅額,1970,571902,1523059451
99,合計,164270,3599508703,11411726825
99,一般稅額,162367,3599033708,9978213017
99,特種稅額,1903,474995,1433513808
100,合計,168361,5215924828,12215184797
100,一般稅額,166463,5214046002,10702420220
100,特種稅額,1898,1878826,1512764577
101,合計,171474,3618083220,11945744066
101,一般稅額,169204,3616080487,10692505459
101,特種稅額,2270,2002733,1253238607
102,合計,174766,11039311427,11881350323
102,一般稅額,172532,4811131154,10757911109
102,特種稅額,2234,6228180273,1123439214
103,合計,179681,13851847362,12592369099
103,一般稅額,177492,8213589643,11326404144
103,特種稅額,2189,5638257719,1265964955
104,合計,184384,4180519411,12489955779
104,一般稅額,182209,4172578589,11186206283
104,特種稅額,2175,7940822,1303749496
105,合計,188464,3382918158,12186547629
105,一般稅額,186339,3380820548,10849105620
105,特種稅額,2125,2097610,1337442009
106,合計,192376,4785937887,12286019424
106,一般稅額,190303,4783322125,11127010279
106,特種稅額,2073,2615762,1159009145
107,合計,196171,3365207647,13101996936
107,一般稅額,194116,3305442240,11747275792
107,特種稅額,2055,59765407,1354721144
108,合計,198625,4867508601,13309800058
108,一般稅額,196515,4271070444,11921758968
108,特種稅額,2110,596438157,1388041090
109,合計,200780,3327055221,13477018126
109,一般稅額,198708,3130614481,12097603634
109,特種稅額,2072,196440740,1379414492
